timestamp,open,high,low,close,volume
2025-03-10 03:00:00,82198.12,82333.37,81791.82,82047.49,1063.09038
2025-03-10 04:00:00,82047.49,82659.14,82004.0,82634.05,647.00669
2025-03-10 05:00:00,82634.05,82797.95,82124.35,82308.52,761.63193
2025-03-10 06:00:00,82308.51,82425.71,81977.27,82332.67,718.31521
2025-03-10 07:00:00,82333.81,82687.5,82048.44,82318.77,735.02286
2025-03-10 08:00:00,82318.78,82391.75,81151.0,81350.46,1240.84016
2025-03-10 09:00:00,81350.46,84123.46,81325.32,82514.26,3135.7787
2025-03-10 10:00:00,82514.27,82683.99,81630.59,82288.19,960.18393
2025-03-10 11:00:00,82288.19,83826.02,82065.73,83582.0,1355.26923
2025-03-10 12:00:00,83582.0,83771.94,82634.16,83248.12,1804.51434
2025-03-10 13:00:00,83248.12,83313.99,81423.51,81528.94,2151.30539
2025-03-10 14:00:00,81528.93,81528.93,79177.03,79847.08,6049.79262
2025-03-10 15:00:00,79847.09,81118.32,79570.57,80043.85,2855.95678
2025-03-10 16:00:00,80043.84,80250.0,78992.1,79009.98,2435.72646
2025-03-10 17:00:00,79009.01,79327.98,78202.0,78459.91,4021.36721
2025-03-10 18:00:00,78459.9,79147.05,77501.1,77655.26,3305.83539
2025-03-10 19:00:00,77655.25,79533.57,77459.91,79060.84,3706.69015
2025-03-10 20:00:00,79060.84,79729.73,78409.4,79304.98,1749.77269
2025-03-10 21:00:00,79304.97,79886.03,78959.9,79565.81,1079.83363
2025-03-10 22:00:00,79566.86,79845.42,79200.0,79502.36,890.45364
2025-03-10 23:00:00,79502.36,79708.0,78449.98,78595.86,1397.06901
2025-03-11 00:00:00,78595.86,79235.77,76606.0,77673.6,5219.87886
2025-03-11 01:00:00,77673.6,79130.93,76816.52,79130.66,3194.38716
2025-03-11 02:00:00,79130.65,79650.0,78938.0,79354.53,1754.34261
2025-03-11 03:00:00,79354.54,79938.27,79279.9,79522.29,953.63506
2025-03-11 04:00:00,79522.29,80245.26,79439.9,79759.91,1261.6828
2025-03-11 05:00:00,79759.91,80457.0,79719.87,80261.78,1400.52299
2025-03-11 06:00:00,80261.78,80547.79,80091.18,80099.33,727.41838
2025-03-11 07:00:00,80099.32,80614.89,80088.0,80424.95,1177.73486
2025-03-11 08:00:00,80424.94,81525.62,80325.22,81131.16,2032.15403
2025-03-11 09:00:00,81131.15,81900.05,81129.98,81460.39,1344.56881
2025-03-11 10:00:00,81460.38,81886.31,81269.85,81808.26,1037.52973
2025-03-11 11:00:00,81808.25,82092.34,81400.0,81720.34,1184.00715
2025-03-11 12:00:00,81720.33,81909.69,81017.0,81225.5,1849.7363
2025-03-11 13:00:00,81225.49,82225.21,80536.33,80898.49,4637.72925
2025-03-11 14:00:00,80898.5,81374.92,79058.0,79773.04,6591.00781
2025-03-11 15:00:00,79773.05,81666.0,79653.69,81232.24,3555.27893
2025-03-11 16:00:00,81232.23,81900.0,80609.96,81386.8,2212.88519
2025-03-11 17:00:00,81386.79,81727.27,80777.75,81305.57,1542.25683
2025-03-11 18:00:00,81305.58,83470.01,81288.61,83280.94,2780.96936
2025-03-11 19:00:00,83280.95,83617.4,82846.31,83104.01,1549.39261
2025-03-11 20:00:00,83104.01,83170.38,82586.84,82799.68,845.3044
2025-03-11 21:00:00,82799.68,83265.38,82799.67,83110.72,576.90124
2025-03-11 22:00:00,83110.71,83306.87,82981.3,83133.48,560.5699
2025-03-11 23:00:00,83133.48,83185.0,82550.52,82932.99,780.17427
2025-03-12 00:00:00,82932.99,83142.11,82604.95,82765.52,658.58485
2025-03-12 01:00:00,82765.52,83783.26,82752.58,83313.6,1260.16624
2025-03-12 02:00:00,83313.6,83330.04,82217.01,82430.79,1790.05082
2025-03-12 03:00:00,82430.8,82620.01,82100.61,82127.72,1003.13679
2025-03-12 04:00:00,82127.73,82180.0,81617.76,81811.05,1145.12345
2025-03-12 05:00:00,81811.05,82048.93,81617.0,81987.43,734.00302
2025-03-12 06:00:00,81987.44,81987.44,81296.0,81425.98,774.02218
2025-03-12 07:00:00,81425.97,82541.47,81332.66,82447.79,1412.35169
2025-03-12 08:00:00,82447.78,82841.82,82000.29,82689.67,1582.29339
2025-03-12 09:00:00,82689.66,82933.32,82228.09,82680.06,1177.88498
2025-03-12 10:00:00,82680.06,82771.05,82106.09,82492.67,1102.97753
